Metal Max Returns,SNES,1995,Role-Playing,0,0,0.04,0,0.04,N/A
Mobile Suit Gundam,PS,1995,Action,0,0,0.42,0.03,0.45,N/A
Mobile Suit Gundam,SAT,1995,Action,0,0,0.41,0,0.41,N/A
Myst,PS,1995,Adventure,0,0,0.07,0,0.07,N/A
Mystery Dungeon: Shiren the Wanderer,SNES,1995,Role-Playing,0,0,0.4,0,0.4,N/A
Mystic Ark,SNES,1995,Role-Playing,0,0,0.13,0,0.13,N/A
Namco Soccer Prime Goal,PS,1995,Sports,0,0,0.12,0.01,0.13,N/A
Namco Tennis Smash Court,PS,1995,Sports,0,0,0.23,0.02,0.24,N/A
Nichibutsu Arcade Classics,SNES,1995,Misc,0,0,0.28,0,0.28,N/A
Night Head: The Labyrinth,PS,1995,Adventure,0,0,0.03,0,0.03,N/A
Night Warriors: Darkstalkers' Revenge,SAT,1995,Fighting,0,0,0.34,0,0.34,N/A
Nobunaga no Yabou: Tenshoki,SAT,1995,Strategy,0,0,0.11,0,0.11,N/A
Panzer Dragoon,SAT,1995,Shooter,0,0,0.37,0,0.37,N/A
Panzer Dragoon II Zwei,SAT,1995,Shooter,0,0,0.31,0,0.31,N/A
Parodius,SAT,1995,Shooter,0,0,0.16,0,0.17,N/A
Persona,PS,1995,Role-Playing,0,0,0.42,0.03,0.45,N/A
Policenauts,3DO,1995,Adventure,0,0,0.06,0,0.06,N/A
Princess Maker 2,SAT,1995,Simulation,0,0,0.08,0,0.08,N/A
Quo Vadis,SAT,1995,Strategy,0,0,0.08,0,0.08,N/A
Rampo,SAT,1995,Adventure,0,0,0.03,0,0.03,N/A
Rapid Reload,PS,1995,Shooter,0,0,0.09,0.01,0.09,N/A
Romancing SaGa 3,SNES,1995,Role-Playing,0,0,1.29,0.01,1.3,N/A
Samurai Shodown III,NG,1995,Fighting,0,0,0.08,0,0.08,N/A
SD Gundam GNext,SNES,1995,Strategy,0,0,0.2,0,0.2,N/A
Seiken Densetsu 3,SNES,1995,Role-Playing,0,0,0.89,0,0.89,N/A
Sengoku Cyber: Fujimaru Jigokuhen,PS,1995,Strategy,0,0,0.11,0.01,0.12,N/A
Sentou Kokka Air Land Battle,PS,1995,Strategy,0,0,0.13,0.01,0.13,N/A
Shin Megami Tensei: Devil Summoner,SAT,1995,Role-Playing,0,0,0.38,0,0.38,N/A
Shin Nippon Pro Wrestling: Toukon Retsuden,PS,1995,Fighting,0,0,0.3,0.02,0.33,N/A
SimCity 2000,SNES,1995,Simulation,0,0,0.49,0,0.49,N/A
Slam Dunk SD Heat Up!!,SNES,1995,Sports,0,0,0.05,0,0.05,N/A
Sotsugyou II: Neo Generation,PS,1995,Simulation,0,0,0.04,0,0.04,N/A
Sotsugyou II: Neo Generation Special,3DO,1995,Simulation,0,0,0.02,0,0.02,N/A
StarBlade α,PS,1995,Shooter,0,0,0.15,0.01,0.16,N/A
Street Fighter Alpha 2,SAT,1995,Fighting,0,0,0.32,0,0.32,N/A
Super Dodge Ball,NG,1995,Sports,0,0,0.02,0,0.02,N/A
Super Famista 4,SNES,1995,Sports,0,0,0.42,0,0.42,N/A
Super Fire ProWrestling X,SNES,1995,Fighting,0,0,0.28,0,0.28,N/A
Super Jinsei Game 2,SNES,1995,Misc,0,0,0.05,0,0.05,N/A
Super Momotarou Dentetsu DX,SNES,1995,Misc,0,0,0.47,0,0.47,N/A
Super Nazo Puyo: Ruruu no Ruu,SNES,1995,Puzzle,0,0,0.27,0,0.27,N/A
Super Puyo Puyo 2,SNES,1995,Puzzle,0,0,0.47,0,0.47,N/A
Super Real Mahjong Graffiti,SAT,1995,Misc,0,0,0.07,0,0.07,N/A
